objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class
1237667736125178199,25.8644,0.5119196,22.44631,0.1539968,20.83318,0.05056549,19.79889,0.03376371,19.19086,0.06560391,6747620223250356224,0.630509,0.0001488559,0.559008,0.032537,GALAXY
1237667736661656142,22.75259,0.5485154,22.08694,0.1282552,20.06535,0.03487729,19.10648,0.02373984,18.75762,0.0580325,6747657056889886720,0.5102059,0.0001635639,0.511181,0.027493,GALAXY
1237667781200249639,24.22838,1.324227,21.76077,0.1182222,19.99669,0.03697618,19.17741,0.02662076,18.64137,0.05588442,5074493920530159616,0.4815174,0.0001518951,0.474855,0.022804,GALAXY
1237667782824493149,27.22239,0.2107498,22.51711,0.1848486,20.76357,0.05659368,19.74929,0.03415769,19.29655,0.09413081,6613623290409015296,0.5552317,0.0001982149,0.552795,0.035736,GALAXY
1237667782854771626,24.22841,1.835506,21.48635,0.09153443,19.70042,0.03201342,18.84955,0.02256185,18.46287,0.06569212,4428297189148874752,0.4776331,9.785125E-05,0.470113,0.021739,GALAXY
1237667782854771626,24.22841,1.835506,21.48635,0.09153443,19.70042,0.03201342,18.84955,0.02256185,18.46287,0.06569212,5508107499461695488,0.4776599,0.0001298001,0.470113,0.021739,GALAXY
1237667783367852706,22.20654,0.6272355,23.12771,0.6689907,19.96568,0.05932921,18.81314,0.03195438,18.34681,0.06781889,7230604349579483136,0.5839067,0.0001648916,0.624574,0.033915,GALAXY
1237667783367918188,23.3798,0.8353984,22.14878,0.1516621,20.57396,0.05389232,19.3695,0.02805516,18.94737,0.06050945,7230591155439949824,0.7036809,0.0001404511,0.609096,0.034552,GALAXY
1237667783368245726,23.06735,0.6803914,21.86654,0.111095,20.10517,0.03444215,19.20577,0.0237035,18.77742,0.05221558,7230785219242252288,0.4888724,0.0001215427,0.501625,0.025089,GALAXY
1237652900759994642,25.24377,1.880789,21.86069,0.1555914,20.17274,0.05606739,19.29853,0.04279718,18.8903,0.1271616,8087571964141787136,0.4569459,8.915288E-05,0.493292,0.023563,GALAXY
1237653587407078123,22.76906,0.5900491,21.29566,0.07997701,20.10065,0.03943506,19.33499,0.02981327,18.9157,0.07815986,4278683345955870720,0.5733504,0.000109922,0.493533,0.075637,GALAXY
1237653587407078123,22.76906,0.5900491,21.29566,0.07997701,20.10065,0.03943506,19.33499,0.02981327,18.9157,0.07815986,4280839488962582528,0.5732597,0.000121783,0.493533,0.075637,GALAXY
1237653587407078123,22.76906,0.5900491,21.29566,0.07997701,20.10065,0.03943506,19.33499,0.02981327,18.9157,0.07815986,4280840038483515392,0.5733445,0.0001368485,0.493533,0.075637,GALAXY
1237653651310117660,24.50813,3.145162,22.20506,0.4089413,20.23867,0.0972182,19.00595,0.04517912,18.70008,0.1199083,5243403646021163008,0,0,0.594508,0.033699,GALAXY
1237654028718965208,23.07678,0.6705031,21.86477,0.1339254,20.27415,0.04790932,19.39614,0.03532268,18.90678,0.08340236,5336857737342244864,0.509261,0.0001313251,0.506122,0.031995,GALAXY
1237654028719030899,25.85914,0.8719591,21.97571,0.1791348,19.9222,0.04328492,19.04116,0.03166525,18.38555,0.06712743,5336843993446897664,0.4824722,0.0001117773,0.503842,0.029578,GALAXY
1237654029787333349,23.01199,0.9949094,22.77504,0.3949878,20.73608,0.0961128,19.64618,0.05592002,19.1648,0.1490163,5328971215280560128,0.5972155,0.0002060159,0.577011,0.029269,GALAXY
1237654344937374586,22.03199,0.312546,22.09406,0.1349804,20.79823,0.07427861,19.80688,0.05018332,19.81627,0.1952975,8019927536040695808,0.5532871,0.0002247369,0.599797,0.070399,GALAXY
1237654381441909163,26.10713,1.160461,21.60667,0.1523948,20.20268,0.06770474,19.1632,0.03934227,18.58282,0.07907895,6447011829399181312,0.5866317,0.0001561601,0.564428,0.039345,GALAXY
1237654381982384943,22.96786,0.6800516,20.88131,0.05845046,19.26886,0.0203907,18.48137,0.01523575,18.08092,0.04103227,7977271156112906240,0.4638827,0.0001138423,0.4468,0.028552,GALAXY
1237654381982515749,24.13715,1.195071,22.20217,0.1410615,20.83764,0.0592583,19.55548,0.02870026,19.14668,0.07926594,7977272805380347904,0.6374851,0.0002222655,0.640369,0.054714,GALAXY
1237654381982646284,20.79364,0.2596972,21.15195,0.1762323,20.05457,0.09627283,18.88154,0.04973761,18.42728,0.1333615,7978310744910616576,0.6919556,9.410247E-05,0.655293,0.071065,GALAXY
1237654382514078322,25.07619,1.301782,22.0088,0.1370406,19.94027,0.03341459,19.11477,0.02280634,18.66522,0.0627475,6453821924510554112,0.4670327,0.0001212461,0.47427,0.024049,GALAXY
1237654383588213338,24.34063,1.61649,21.23588,0.07653214,19.59434,0.02549502,18.80898,0.01897827,18.36528,0.04468412,5804282125491656704,0.4524778,0.0001310646,0.457808,0.026537,GALAXY
1237654383591490302,23.54071,1.388648,22.12389,0.1997818,20.1431,0.05032349,19.26355,0.03465543,18.85624,0.09657744,6434593120961452032,0.4896497,8.403244E-05,0.490534,0.024242,GALAXY
1237654390568256288,24.87986,1.152746,21.77114,0.132457,20.62531,0.06530269,19.62037,0.03807241,19.09351,0.09338093,4286417311165077504,0.6486318,0.0001790761,0.575694,0.047046,GALAXY
